ORIGIN_AIRPORT_ID,CODE,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20436.0,Frontier Airlines Inc.,722,Airbus Industrie A320-200n,8636.0,2752.0,7532.0,8423.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20452.0,Republic Airline,673,Embraer ERJ-175,10435.0,1999.0,19726.0,81.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20452.0,Republic Airline,677,Embraer-Emb-170,9772.0,1219.0,4531.0,1106.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",20500.0,GoJet Airlines LLC d/b/a United Express,631,Canadair RJ-700,13228.0,712.0,,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",21167.0,Compass Airlines,673,Embraer ERJ-175,137061.0,13303.0,,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",21599.0,Boutique Air,458,Beechcraft Super King Air,27.0,,,
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",21599.0,Boutique Air,479,Pilatus PC-12,3093.0,1495.0,1992.0,3171.0
10140,ABQ,"Albuquerque, NM: Albuquerque International Sunport",21894.0,"ADVANCED AIR, LLC",458,Beechcraft Super King Air,4111.0,1729.0,2959.0,4047.0
10141,ABR,"Aberdeen, SD: Aberdeen Regional",20304.0,SkyWest Airlines Inc.,629,Canadair RJ-200ER /RJ-440,28610.0,13689.0,21635.0,21726.0
10141,ABR,"Aberdeen, SD: Aberdeen Regional",20304.0,SkyWest Airlines Inc.,631,Canadair RJ-700,125.0,31.0,52.0,42.0
10141,ABR,"Aberdeen, SD: Aberdeen Regional",20304.0,SkyWest Airlines Inc.,638,Canadair CRJ 900,47.0,673.0,155.0,
10146,ABY,"Albany, GA: Southwest Georgia Regional",20304.0,SkyWest Airlines Inc.,629,Canadair RJ-200ER /RJ-440,41276.0,8165.0,,
10146,ABY,"Albany, GA: Southwest Georgia Regional",20363.0,Endeavor Air Inc.,629,Canadair RJ-200ER /RJ-440,118.0,9091.0,31818.0,34993.0
10146,ABY,"Albany, GA: Southwest Georgia Regional",20363.0,Endeavor Air Inc.,638,Canadair CRJ 900,66.0,132.0,116.0,
10154,ACK,"Nantucket, MA: Nantucket Memorial",20253.0,Cape Air,125,Cessna C-402/402A/402B,38941.0,21940.0,32058.0,25067.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",20363.0,Endeavor Air Inc.,629,Canadair RJ-200ER /RJ-440,2342.0,,408.0,
10154,ACK,"Nantucket, MA: Nantucket Memorial",20409.0,JetBlue Airways,678,Embraer 190,55669.0,8407.0,49680.0,54358.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",20445.0,CommuteAir LLC dba CommuteAir,675,Embraer-145,8705.0,1375.0,,
10154,ACK,"Nantucket, MA: Nantucket Memorial",20452.0,Republic Airline,673,Embraer ERJ-175,12951.0,8402.0,16942.0,15476.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",20452.0,Republic Airline,677,Embraer-Emb-170,191.0,,,
10154,ACK,"Nantucket, MA: Nantucket Memorial",21080.0,Tradewind Aviation,479,Pilatus PC-12,2754.0,2638.0,2690.0,3341.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",21618.0,"Southern Airways Express, dba Mokulele Airlines",416,Cessna 208 Caravan,682.0,1651.0,2724.0,120.0
10154,ACK,"Nantucket, MA: Nantucket Memorial",21964.0,"Rectrix Aviation, Inc.",458,Beechcraft Super King Air,9253.0,,,
10155,ACT,"Waco, TX: Waco Regional",19393.0,Southwest Airlines Co.,612,Boeing 737-700/700LR/Max 7,199.0,,140.0,
