ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,hub_cat,diff,pct_change,change_category,total_2019,total_2020,total_2021,total_2022,pax_diff
12129,HIB,MN,Range Regional,Hibbing,10k-100k,yes,N,gain,2.1,less than 10%,17163,8024,12320,12863,loss
12156,HLN,MT,Helena Regional,Helena,100k-1 million,no,N,loss,-35.3,at least -30%,118300,46974,71442,82323,loss
12177,HOB,NM,Lea County Regional,Hobbs,10k-100k,no,N,loss,-23.1,at least -20%,27765,9080,11970,17877,loss
12191,HOU,TX,William P Hobby,Houston,more than 5 million,no,M,loss,-15.4,at least -10%,6829752,3055579,5383700,6185321,loss
12197,HPN,NY,Westchester County,White Plains,100k-1 million,no,S,gain,1.5,less than 10%,863562,234873,534155,892513,gain
12206,HRL,TX,Valley International,Harlingen/San Benito,100k-1 million,no,S,gain,4.4,less than 10%,334755,172288,306616,428719,gain
12217,HSV,AL,Huntsville International-Carl T Jones Field,Huntsville,100k-1 million,no,S,loss,-19.7,at least -10%,713574,276440,462634,592300,loss
12223,HTS,WV,Tri-State/Milton J. Ferguson Field,Ashland,100k-1 million,no,N,loss,-28.5,at least -20%,106951,57669,93397,89492,loss
12244,HVN,CT,Tweed New Haven,New Haven,10k-100k,no,N,gain,166.5,at least 30%,48642,11367,29560,351690,gain
12250,HYA,MA,Cape Cod Gateway,Hyannis,10k-100k,no,N,loss,-53.3,at least -30%,24071,9679,19243,15221,loss
12255,HYS,KS,Hays Regional,Hays,10k-100k,yes,N,loss,-43.1,at least -30%,27558,9347,11086,15926,loss
12264,IAD,VA,Washington Dulles International,Washington,more than 5 million,no,L,loss,-18.1,at least -10%,7803701,2933490,5594821,6711550,loss
12265,IAG,NY,Niagara Falls International,Niagara Falls,100k-1 million,no,N,loss,-53.6,at least -30%,122017,42087,42468,58451,loss
12266,IAH,TX,George Bush Intercontinental/Houston,Houston,more than 5 million,no,L,loss,-17.4,at least -10%,16530581,6956005,13119363,15297731,loss
12278,ICT,KS,Wichita Dwight D Eisenhower National,Wichita,100k-1 million,no,S,loss,-16.2,at least -10%,879070,391179,637317,788123,loss
12280,IDA,ID,Idaho Falls Regional,Idaho Falls,100k-1 million,no,N,gain,60.7,at least 30%,177340,101538,219781,309673,gain
12323,ILM,NC,Wilmington International,Wilmington,100k-1 million,no,S,loss,-8.6,less than -10%,540935,245761,463903,537261,loss
12335,IMT,MI,Ford,Iron Mountain/Kingsfd,10k-100k,yes,N,gain,8.1,less than 10%,22206,10464,14863,21335,loss
12339,IND,IN,Indianapolis International,Indianapolis,1-5 million,no,M,loss,-19.3,at least -10%,4672874,1985951,3488294,4200232,loss
12343,INL,MN,Falls International Einarson Field,International Falls,10k-100k,yes,,loss,-13.2,at least -10%,17066,5542,8257,11951,loss
12365,IPT,PA,Williamsport Regional,Williamsport,10k-100k,no,,loss,-100.0,at least -30%,20256,6847,4110,0,loss
12391,ISP,NY,Long Island MacArthur,Islip,100k-1 million,no,S,loss,-19.2,at least -10%,780620,263769,556513,616815,loss
12397,ITH,NY,Ithaca Tompkins International,Ithaca/Cortland,100k-1 million,no,N,loss,-51.2,at least -30%,109236,33081,57851,56326,loss
12441,JAC,WY,Jackson Hole,Jackson,100k-1 million,no,S,loss,-0.8,less than -10%,443456,275995,497251,399510,loss
