ORIGIN_AIRPORT_ID,CODE,ORIGIN_STATE_ABR,NAME,LOCATION,category,EAS,diff,pct_change,change_category
12339,IND,IN,Indianapolis International,Indianapolis,1-5 million,no,loss,-19.3,at least -10%
12343,INL,MN,Falls International Einarson Field,International Falls,10k-100k,yes,loss,-13.2,at least -10%
12363,IPL,CA,Imperial County,El Centro,less than 10k,yes,gain,30.6,at least 30%
12365,IPT,PA,Williamsport Regional,Williamsport,10k-100k,no,loss,-100,at least -30%
12375,IRK,MO,Kirksville Regional,Kirksville,less than 10k,yes,loss,-4,less than -10%
12388,ISM,FL,Kissimmee Gateway,Orlando,less than 10k,no,loss,-100,at least -30%
12390,ISO,NC,Kinston Regional Jetport at Stallings Field,Kinston,less than 10k,no,gain,,other
12391,ISP,NY,Long Island MacArthur,Islip,100k-1 million,no,loss,-19.2,at least -10%
12397,ITH,NY,Ithaca Tompkins International,Ithaca/Cortland,100k-1 million,no,loss,-51.2,at least -30%
12412,IWD,MI,Gogebic-Iron County,Ironwood,less than 10k,yes,loss,-36.2,at least -30%
12441,JAC,WY,Jackson Hole,Jackson,100k-1 million,no,loss,-0.8,less than -10%
12448,JAN,MS,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,100k-1 million,no,gain,2.7,less than 10%
12451,JAX,FL,Jacksonville International,Jacksonville,1-5 million,no,loss,-17.5,at least -10%
12455,JBR,AR,Jonesboro Municipal,Jonesboro,less than 10k,yes,loss,-12,at least -10%
12478,JFK,NY,John F. Kennedy International,New York,more than 5 million,no,gain,5.2,less than 10%
12511,JLN,MO,Joplin Regional,Joplin,10k-100k,no,loss,-52.9,at least -30%
12519,JMS,ND,Jamestown Regional,Jamestown,10k-100k,yes,loss,-24.6,at least -20%
12544,USA,NC,Concord Padgett Regional,Concord,100k-1 million,no,loss,-39.1,at least -30%
12559,JST,PA,John Murtha Johnstown-Cambria County,Johnstown,less than 10k,yes,loss,-53.7,at least -30%
12652,KEH,WA,Kenmore Air Harbor,Kenmore,less than 10k,no,loss,-2.9,less than -10%
12878,LAF,IN,Purdue University,Lafayette,less than 10k,no,loss,-66.7,at least -30%
12882,LAL,FL,Lakeland Linder International,Lakeland,less than 10k,no,loss,-100,at least -30%
12884,LAN,MI,Capital Region International,Lansing,100k-1 million,no,loss,-50.9,at least -30%
12888,LAR,WY,Laramie Regional,Laramie,10k-100k,yes,loss,-2,less than -10%
12889,LAS,NV,Harry Reid International,Las Vegas,more than 5 million,no,gain,3.1,less than 10%
