ORIGIN_AIRPORT_ID,ORIGIN_STATE_ABR,CODE,NAME,AIRLINE_ID,UNIQUE_CARRIER_NAME,AIRCRAFT_TYPE,Description,2019,2020,2021,2022
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19977,United Air Lines Inc.,698,Airbus Industrie A319,13010,5987,6822,10849
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20416,Spirit Air Lines,698,Airbus Industrie A319,735,659,423,809
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20436,Frontier Airlines Inc.,698,Airbus Industrie A319,351,9,,
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19790,Delta Air Lines Inc.,699,Airbus Industrie A321/Lr,149,482,664,1548
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19805,American Airlines Inc.,699,Airbus Industrie A321/Lr,12844,7499,9821,5658
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20416,Spirit Air Lines,699,Airbus Industrie A321/Lr,3545,1962,3375,2191
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20436,Frontier Airlines Inc.,699,Airbus Industrie A321/Lr,918,320,345,536
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20409,JetBlue Airways,699,Airbus Industrie A321/Lr,3,5,72,9
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19930,Alaska Airlines Inc.,721,Airbus Industrie A321-200n,35,38,3,45
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19805,American Airlines Inc.,721,Airbus Industrie A321-200n,15,79,1083,506
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20436,Frontier Airlines Inc.,722,Airbus Industrie A320-200n,1203,911,1965,334
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",20416,Spirit Air Lines,722,Airbus Industrie A320-200n,1013,695,654,1608
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19790,Delta Air Lines Inc.,723,A200-100 BD-500-1A10,5,1641,1431,2853
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19977,United Air Lines Inc.,837,Boeing 787-10 Dreamliner,4,22,4,466
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19805,American Airlines Inc.,838,Boeing B737 Max 800,12,,628,2638
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19977,United Air Lines Inc.,839,Boeing B737 Max 900,11,,2356,4082
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19805,American Airlines Inc.,887,B787-800 Dreamliner,1288,589,651,327
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19790,Delta Air Lines Inc.,888,Boeing 737-900ER,41,5,187,40
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19930,Alaska Airlines Inc.,888,Boeing 737-900ER,1359,1220,1832,1314
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19977,United Air Lines Inc.,888,Boeing 737-900ER,21039,8398,13877,15366
13930,IL,ORD,"Chicago, IL: Chicago O'Hare International",19805,American Airlines Inc.,889,B787-900 Dreamliner,312,212,568,145
11292,CO,DEN,"Denver, CO: Denver International",21879,Key Lime Air Corporation,455,Fairchild Metro 23,363,628,624,1027
11292,CO,DEN,"Denver, CO: Denver International",21599,Boutique Air,479,Pilatus PC-12,5232,3380,1555,713
